,location,suitability,date,time,current date,current time
0,West Perth,False,19/06/2019,14:50,2019-01-19,08:47:47.510233
1,West Perth,False,24/06/2019,14:50,2019-01-19,08:47:47.510233
2,West Perth,False,25/06/2019,09:45,2019-01-19,08:47:47.510233
3,West Perth,False,25/06/2019,11:25,2019-01-19,08:47:47.510233
4,West Perth,False,25/06/2019,14:50,2019-01-19,08:47:47.510233
5,West Perth,False,25/06/2019,15:40,2019-01-19,08:47:47.510233
6,West Perth,False,03/07/2019,07:05,2019-01-19,08:47:47.510233
7,West Perth,False,03/07/2019,10:35,2019-01-19,08:47:47.510233
8,West Perth,False,03/07/2019,11:25,2019-01-19,08:47:47.510233
0,West Perth,False,19/06/2019,14:50,2019-01-19,08:49:08.309479
1,West Perth,False,24/06/2019,14:50,2019-01-19,08:49:08.309479
2,West Perth,False,25/06/2019,09:45,2019-01-19,08:49:08.309479
3,West Perth,False,25/06/2019,11:25,2019-01-19,08:49:08.309479
4,West Perth,False,25/06/2019,14:50,2019-01-19,08:49:08.309479
5,West Perth,False,25/06/2019,15:40,2019-01-19,08:49:08.309479
6,West Perth,False,03/07/2019,07:05,2019-01-19,08:49:08.309479
7,West Perth,False,03/07/2019,10:35,2019-01-19,08:49:08.309479
8,West Perth,False,03/07/2019,11:25,2019-01-19,08:49:08.309479
0,West Perth,False,24/06/2019,14:50,2019-01-19,08:53:32.696999
1,West Perth,False,25/06/2019,09:45,2019-01-19,08:53:32.696999
2,West Perth,False,25/06/2019,11:25,2019-01-19,08:53:32.696999
3,West Perth,False,25/06/2019,14:50,2019-01-19,08:53:32.696999
4,West Perth,False,25/06/2019,15:40,2019-01-19,08:53:32.696999
5,West Perth,False,03/07/2019,07:05,2019-01-19,08:53:32.696999
6,West Perth,False,03/07/2019,10:35,2019-01-19,08:53:32.696999
7,West Perth,False,03/07/2019,11:25,2019-01-19,08:53:32.696999
8,West Perth,False,08/07/2019,10:35,2019-01-19,08:53:32.696999
0,West Perth,False,24/06/2019,14:50,2019-01-19,08:58:32.896346
1,West Perth,False,25/06/2019,09:45,2019-01-19,08:58:32.896346
2,West Perth,False,25/06/2019,11:25,2019-01-19,08:58:32.896346
3,West Perth,False,25/06/2019,14:50,2019-01-19,08:58:32.896346
4,West Perth,False,25/06/2019,15:40,2019-01-19,08:58:32.896346
5,West Perth,False,03/07/2019,07:05,2019-01-19,08:58:32.896346
6,West Perth,False,03/07/2019,10:35,2019-01-19,08:58:32.896346
7,West Perth,False,03/07/2019,11:25,2019-01-19,08:58:32.896346
8,West Perth,False,08/07/2019,10:35,2019-01-19,08:58:32.896346
0,West Perth,False,24/06/2019,14:50,2019-01-19,09:03:32.473164
1,West Perth,False,25/06/2019,09:45,2019-01-19,09:03:32.473164
2,West Perth,False,25/06/2019,11:25,2019-01-19,09:03:32.473164
3,West Perth,False,25/06/2019,14:50,2019-01-19,09:03:32.473164
4,West Perth,False,25/06/2019,15:40,2019-01-19,09:03:32.473164
5,West Perth,False,03/07/2019,07:05,2019-01-19,09:03:32.473164
6,West Perth,False,03/07/2019,10:35,2019-01-19,09:03:32.473164
7,West Perth,False,03/07/2019,11:25,2019-01-19,09:03:32.473164
8,West Perth,False,08/07/2019,10:35,2019-01-19,09:03:32.473164
0,West Perth,False,24/06/2019,14:50,2019-01-19,09:08:32.322431
1,West Perth,False,25/06/2019,09:45,2019-01-19,09:08:32.322431
2,West Perth,False,25/06/2019,11:25,2019-01-19,09:08:32.322431
3,West Perth,False,25/06/2019,14:50,2019-01-19,09:08:32.322431
4,West Perth,False,25/06/2019,15:40,2019-01-19,09:08:32.322431
5,West Perth,False,03/07/2019,07:05,2019-01-19,09:08:32.322431
6,West Perth,False,03/07/2019,10:35,2019-01-19,09:08:32.322431
7,West Perth,False,03/07/2019,11:25,2019-01-19,09:08:32.322431
8,West Perth,False,08/07/2019,10:35,2019-01-19,09:08:32.322431
0,West Perth,False,24/06/2019,14:50,2019-01-19,09:13:32.620702
