,location,suitability,date,time,current date,current time
0,Esperance DOT Office,False,29/01/2019,08:00,2021-04-29,16:44:38.454588
1,Esperance DOT Office,False,29/01/2019,11:30,2021-04-29,16:44:38.454588
2,Esperance DOT Office,False,29/01/2019,12:50,2021-04-29,16:44:38.454588
3,Esperance DOT Office,False,29/01/2019,14:20,2021-04-29,16:44:38.454588
4,Esperance DOT Office,False,29/01/2019,15:15,2021-04-29,16:44:38.454588
5,Esperance DOT Office,False,30/01/2019,09:40,2021-04-29,16:44:38.454588
6,Esperance DOT Office,False,30/01/2019,10:45,2021-04-29,16:44:38.454588
7,Esperance DOT Office,False,30/01/2019,11:30,2021-04-29,16:44:38.454588
8,Esperance DOT Office,False,30/01/2019,12:50,2021-04-29,16:44:38.454588
