,location,suitability,date,time,current date,current time
0,West Perth,False,24/01/2019,07:05,2019-01-23,09:04:13.187388
1,West Perth,False,24/01/2019,07:55,2019-01-23,09:04:13.187388
2,West Perth,False,24/01/2019,08:45,2019-01-23,09:04:13.187388
3,West Perth,False,24/01/2019,09:45,2019-01-23,09:04:13.187388
4,West Perth,False,24/01/2019,10:35,2019-01-23,09:04:13.187388
5,West Perth,False,24/01/2019,11:25,2019-01-23,09:04:13.187388
6,West Perth,False,24/01/2019,13:00,2019-01-23,09:04:13.187388
7,West Perth,False,24/01/2019,13:50,2019-01-23,09:04:13.187388
8,West Perth,False,31/01/2019,14:50,2019-01-23,09:04:13.187388
0,West Perth,False,24/01/2019,07:05,2019-01-23,09:09:13.704438
1,West Perth,False,24/01/2019,08:45,2019-01-23,09:09:13.704438
2,West Perth,False,24/01/2019,09:45,2019-01-23,09:09:13.704438
3,West Perth,False,24/01/2019,10:35,2019-01-23,09:09:13.704438
4,West Perth,False,24/01/2019,11:25,2019-01-23,09:09:13.704438
5,West Perth,False,24/01/2019,13:00,2019-01-23,09:09:13.704438
6,West Perth,False,24/01/2019,13:50,2019-01-23,09:09:13.704438
7,West Perth,True,01/02/2019,11:25,2019-01-23,09:09:13.704438
8,West Perth,True,01/02/2019,13:50,2019-01-23,09:09:13.704438
