,location,suitability,date,time,current date,current time
0,Esperance DOT Office,False,29/01/2019,08:00,2019-01-16,08:42:40.621065
1,Esperance DOT Office,False,29/01/2019,11:30,2019-01-16,08:42:40.621065
2,Esperance DOT Office,False,29/01/2019,12:50,2019-01-16,08:42:40.621065
3,Esperance DOT Office,False,29/01/2019,14:20,2019-01-16,08:42:40.621065
4,Esperance DOT Office,False,29/01/2019,15:15,2019-01-16,08:42:40.621065
5,Esperance DOT Office,True,30/01/2019,09:40,2019-01-16,08:42:40.621065
6,Esperance DOT Office,True,30/01/2019,10:45,2019-01-16,08:42:40.621065
7,Esperance DOT Office,True,30/01/2019,11:30,2019-01-16,08:42:40.621065
8,Esperance DOT Office,True,30/01/2019,12:50,2019-01-16,08:42:40.621065
,location,suitability,date,time,current date,current time
0,Esperance DOT Office,False,29/01/2019,08:00,2019-01-16,09:08:11.745164
1,Esperance DOT Office,False,29/01/2019,11:30,2019-01-16,09:08:11.745164
2,Esperance DOT Office,False,29/01/2019,12:50,2019-01-16,09:08:11.745164
3,Esperance DOT Office,False,29/01/2019,14:20,2019-01-16,09:08:11.745164
4,Esperance DOT Office,False,29/01/2019,15:15,2019-01-16,09:08:11.745164
5,Esperance DOT Office,True,30/01/2019,09:40,2019-01-16,09:08:11.745164
6,Esperance DOT Office,True,30/01/2019,10:45,2019-01-16,09:08:11.745164
7,Esperance DOT Office,True,30/01/2019,11:30,2019-01-16,09:08:11.745164
8,Esperance DOT Office,True,30/01/2019,12:50,2019-01-16,09:08:11.745164
0,Esperance DOT Office,False,29/01/2019,08:00,2019-01-16,09:09:01.523290
1,Esperance DOT Office,False,29/01/2019,11:30,2019-01-16,09:09:01.523290
2,Esperance DOT Office,False,29/01/2019,12:50,2019-01-16,09:09:01.523290
3,Esperance DOT Office,False,29/01/2019,14:20,2019-01-16,09:09:01.523290
4,Esperance DOT Office,False,29/01/2019,15:15,2019-01-16,09:09:01.523290
5,Esperance DOT Office,True,30/01/2019,09:40,2019-01-16,09:09:01.523290
6,Esperance DOT Office,True,30/01/2019,10:45,2019-01-16,09:09:01.523290
7,Esperance DOT Office,True,30/01/2019,11:30,2019-01-16,09:09:01.523290
8,Esperance DOT Office,True,30/01/2019,12:50,2019-01-16,09:09:01.523290
