,location,suitability,date,time,current date,current time
0,West Perth,False,21/03/2019,13:00,2019-01-18,12:29:46.593008
1,West Perth,False,08/04/2019,07:05,2019-01-18,12:29:46.593008
2,West Perth,False,08/04/2019,13:50,2019-01-18,12:29:46.593008
3,West Perth,False,26/04/2019,08:45,2019-01-18,12:29:46.593008
4,West Perth,False,01/05/2019,08:45,2019-01-18,12:29:46.593008
5,West Perth,False,10/05/2019,07:55,2019-01-18,12:29:46.593008
6,West Perth,False,13/05/2019,07:55,2019-01-18,12:29:46.593008
7,West Perth,False,24/05/2019,09:45,2019-01-18,12:29:46.593008
8,West Perth,False,24/05/2019,11:25,2019-01-18,12:29:46.593008
0,West Perth,False,13/05/2019,07:05,2019-01-18,16:34:42.045869
1,West Perth,False,20/05/2019,09:45,2019-01-18,16:34:42.045869
2,West Perth,False,24/05/2019,09:45,2019-01-18,16:34:42.045869
3,West Perth,False,04/06/2019,11:25,2019-01-18,16:34:42.045869
4,West Perth,False,07/06/2019,09:45,2019-01-18,16:34:42.045869
5,West Perth,False,07/06/2019,10:35,2019-01-18,16:34:42.045869
6,West Perth,False,07/06/2019,11:25,2019-01-18,16:34:42.045869
7,West Perth,False,19/06/2019,08:45,2019-01-18,16:34:42.045869
8,West Perth,False,19/06/2019,13:50,2019-01-18,16:34:42.045869
0,West Perth,False,13/05/2019,07:05,2019-01-18,16:39:42.755239
1,West Perth,False,20/05/2019,09:45,2019-01-18,16:39:42.755239
2,West Perth,False,24/05/2019,09:45,2019-01-18,16:39:42.755239
3,West Perth,False,04/06/2019,11:25,2019-01-18,16:39:42.755239
4,West Perth,False,07/06/2019,09:45,2019-01-18,16:39:42.755239
5,West Perth,False,07/06/2019,10:35,2019-01-18,16:39:42.755239
6,West Perth,False,07/06/2019,11:25,2019-01-18,16:39:42.755239
7,West Perth,False,19/06/2019,08:45,2019-01-18,16:39:42.755239
8,West Perth,False,19/06/2019,13:50,2019-01-18,16:39:42.755239
0,West Perth,False,13/05/2019,07:05,2019-01-18,16:44:43.505151
1,West Perth,False,20/05/2019,09:45,2019-01-18,16:44:43.505151
2,West Perth,False,24/05/2019,09:45,2019-01-18,16:44:43.505151
3,West Perth,False,04/06/2019,11:25,2019-01-18,16:44:43.505151
4,West Perth,False,07/06/2019,09:45,2019-01-18,16:44:43.505151
5,West Perth,False,07/06/2019,10:35,2019-01-18,16:44:43.505151
6,West Perth,False,07/06/2019,11:25,2019-01-18,16:44:43.505151
7,West Perth,False,19/06/2019,08:45,2019-01-18,16:44:43.505151
8,West Perth,False,19/06/2019,13:50,2019-01-18,16:44:43.505151
0,West Perth,False,13/05/2019,07:05,2019-01-18,16:49:44.045303
1,West Perth,False,20/05/2019,09:45,2019-01-18,16:49:44.045303
2,West Perth,False,24/05/2019,09:45,2019-01-18,16:49:44.045303
3,West Perth,False,04/06/2019,11:25,2019-01-18,16:49:44.045303
4,West Perth,False,07/06/2019,09:45,2019-01-18,16:49:44.045303
5,West Perth,False,07/06/2019,10:35,2019-01-18,16:49:44.045303
6,West Perth,False,07/06/2019,11:25,2019-01-18,16:49:44.045303
7,West Perth,False,19/06/2019,08:45,2019-01-18,16:49:44.045303
8,West Perth,False,19/06/2019,13:50,2019-01-18,16:49:44.045303
0,West Perth,False,13/05/2019,07:05,2019-01-18,16:54:43.374792
1,West Perth,False,20/05/2019,09:45,2019-01-18,16:54:43.374792
2,West Perth,False,24/05/2019,09:45,2019-01-18,16:54:43.374792
3,West Perth,False,04/06/2019,11:25,2019-01-18,16:54:43.374792
4,West Perth,False,07/06/2019,09:45,2019-01-18,16:54:43.374792
5,West Perth,False,07/06/2019,10:35,2019-01-18,16:54:43.374792
6,West Perth,False,07/06/2019,11:25,2019-01-18,16:54:43.374792
7,West Perth,False,19/06/2019,08:45,2019-01-18,16:54:43.374792
8,West Perth,False,19/06/2019,13:50,2019-01-18,16:54:43.374792
0,West Perth,False,24/05/2019,09:45,2019-01-18,17:04:42.344106
1,West Perth,False,04/06/2019,11:25,2019-01-18,17:04:42.344106
2,West Perth,False,07/06/2019,09:45,2019-01-18,17:04:42.344106
3,West Perth,False,07/06/2019,10:35,2019-01-18,17:04:42.344106
4,West Perth,False,07/06/2019,11:25,2019-01-18,17:04:42.344106
5,West Perth,False,19/06/2019,08:45,2019-01-18,17:04:42.344106
6,West Perth,False,19/06/2019,13:50,2019-01-18,17:04:42.344106
7,West Perth,False,19/06/2019,14:50,2019-01-18,17:04:42.344106
8,West Perth,False,24/06/2019,14:50,2019-01-18,17:04:42.344106
0,West Perth,False,24/05/2019,09:45,2019-01-18,17:09:42.403787
1,West Perth,False,04/06/2019,11:25,2019-01-18,17:09:42.403787
2,West Perth,False,07/06/2019,09:45,2019-01-18,17:09:42.403787
3,West Perth,False,07/06/2019,10:35,2019-01-18,17:09:42.403787
4,West Perth,False,07/06/2019,11:25,2019-01-18,17:09:42.403787
5,West Perth,False,19/06/2019,08:45,2019-01-18,17:09:42.403787
6,West Perth,False,19/06/2019,13:50,2019-01-18,17:09:42.403787
7,West Perth,False,19/06/2019,14:50,2019-01-18,17:09:42.403787
8,West Perth,False,24/06/2019,14:50,2019-01-18,17:09:42.403787
0,West Perth,False,04/06/2019,11:25,2019-01-18,17:14:43.173682
1,West Perth,False,07/06/2019,09:45,2019-01-18,17:14:43.173682
2,West Perth,False,07/06/2019,10:35,2019-01-18,17:14:43.173682
3,West Perth,False,07/06/2019,11:25,2019-01-18,17:14:43.173682
4,West Perth,False,12/06/2019,13:50,2019-01-18,17:14:43.173682
5,West Perth,False,13/06/2019,08:45,2019-01-18,17:14:43.173682
6,West Perth,False,19/06/2019,08:45,2019-01-18,17:14:43.173682
7,West Perth,False,19/06/2019,13:50,2019-01-18,17:14:43.173682
8,West Perth,False,19/06/2019,14:50,2019-01-18,17:14:43.173682
0,West Perth,False,04/06/2019,11:25,2019-01-18,17:19:43.106295
1,West Perth,False,07/06/2019,09:45,2019-01-18,17:19:43.106295
2,West Perth,False,07/06/2019,10:35,2019-01-18,17:19:43.106295
3,West Perth,False,07/06/2019,11:25,2019-01-18,17:19:43.106295
4,West Perth,False,12/06/2019,13:50,2019-01-18,17:19:43.106295
5,West Perth,False,13/06/2019,08:45,2019-01-18,17:19:43.106295
6,West Perth,False,19/06/2019,08:45,2019-01-18,17:19:43.106295
7,West Perth,False,19/06/2019,13:50,2019-01-18,17:19:43.106295
8,West Perth,False,19/06/2019,14:50,2019-01-18,17:19:43.106295
0,West Perth,False,04/06/2019,11:25,2019-01-18,17:24:43.025042
1,West Perth,False,07/06/2019,09:45,2019-01-18,17:24:43.025042
2,West Perth,False,07/06/2019,10:35,2019-01-18,17:24:43.025042
3,West Perth,False,07/06/2019,11:25,2019-01-18,17:24:43.025042
4,West Perth,False,12/06/2019,13:50,2019-01-18,17:24:43.025042
5,West Perth,False,13/06/2019,08:45,2019-01-18,17:24:43.025042
6,West Perth,False,19/06/2019,08:45,2019-01-18,17:24:43.025042
7,West Perth,False,19/06/2019,13:50,2019-01-18,17:24:43.025042
8,West Perth,False,19/06/2019,14:50,2019-01-18,17:24:43.025042
0,West Perth,False,07/06/2019,09:45,2019-01-18,17:34:42.282764
1,West Perth,False,07/06/2019,10:35,2019-01-18,17:34:42.282764
2,West Perth,False,07/06/2019,11:25,2019-01-18,17:34:42.282764
3,West Perth,False,12/06/2019,13:50,2019-01-18,17:34:42.282764
4,West Perth,False,13/06/2019,08:45,2019-01-18,17:34:42.282764
5,West Perth,False,19/06/2019,08:45,2019-01-18,17:34:42.282764
6,West Perth,False,19/06/2019,13:50,2019-01-18,17:34:42.282764
7,West Perth,False,19/06/2019,14:50,2019-01-18,17:34:42.282764
8,West Perth,False,24/06/2019,14:50,2019-01-18,17:34:42.282764
0,West Perth,False,07/06/2019,09:45,2019-01-18,17:39:42.789081
1,West Perth,False,07/06/2019,10:35,2019-01-18,17:39:42.789081
2,West Perth,False,07/06/2019,11:25,2019-01-18,17:39:42.789081
3,West Perth,False,12/06/2019,13:50,2019-01-18,17:39:42.789081
4,West Perth,False,13/06/2019,08:45,2019-01-18,17:39:42.789081
5,West Perth,False,19/06/2019,08:45,2019-01-18,17:39:42.789081
6,West Perth,False,19/06/2019,13:50,2019-01-18,17:39:42.789081
7,West Perth,False,19/06/2019,14:50,2019-01-18,17:39:42.789081
8,West Perth,False,24/06/2019,14:50,2019-01-18,17:39:42.789081
0,West Perth,False,07/06/2019,09:45,2019-01-18,17:44:43.485364
1,West Perth,False,07/06/2019,10:35,2019-01-18,17:44:43.485364
2,West Perth,False,07/06/2019,11:25,2019-01-18,17:44:43.485364
3,West Perth,False,12/06/2019,13:50,2019-01-18,17:44:43.485364
4,West Perth,False,13/06/2019,08:45,2019-01-18,17:44:43.485364
5,West Perth,False,19/06/2019,08:45,2019-01-18,17:44:43.485364
6,West Perth,False,19/06/2019,13:50,2019-01-18,17:44:43.485364
7,West Perth,False,19/06/2019,14:50,2019-01-18,17:44:43.485364
8,West Perth,False,24/06/2019,14:50,2019-01-18,17:44:43.485364
0,West Perth,False,07/06/2019,09:45,2019-01-18,17:49:43.691458
1,West Perth,False,07/06/2019,10:35,2019-01-18,17:49:43.691458
2,West Perth,False,07/06/2019,11:25,2019-01-18,17:49:43.691458
3,West Perth,False,12/06/2019,13:50,2019-01-18,17:49:43.691458
4,West Perth,False,13/06/2019,08:45,2019-01-18,17:49:43.691458
5,West Perth,False,19/06/2019,08:45,2019-01-18,17:49:43.691458
6,West Perth,False,19/06/2019,13:50,2019-01-18,17:49:43.691458
7,West Perth,False,19/06/2019,14:50,2019-01-18,17:49:43.691458
8,West Perth,False,24/06/2019,14:50,2019-01-18,17:49:43.691458
0,West Perth,False,07/06/2019,11:25,2019-01-18,18:42:32.846776
1,West Perth,False,12/06/2019,13:50,2019-01-18,18:42:32.846776
2,West Perth,False,13/06/2019,08:45,2019-01-18,18:42:32.846776
3,West Perth,False,19/06/2019,08:45,2019-01-18,18:42:32.846776
4,West Perth,False,19/06/2019,13:50,2019-01-18,18:42:32.846776
5,West Perth,False,19/06/2019,14:50,2019-01-18,18:42:32.846776
6,West Perth,False,24/06/2019,14:50,2019-01-18,18:42:32.846776
7,West Perth,False,25/06/2019,11:25,2019-01-18,18:42:32.846776
8,West Perth,False,25/06/2019,14:50,2019-01-18,18:42:32.846776
0,West Perth,False,07/06/2019,11:25,2019-01-18,18:47:26.084354
1,West Perth,False,12/06/2019,13:50,2019-01-18,18:47:26.084354
2,West Perth,False,13/06/2019,08:45,2019-01-18,18:47:26.084354
3,West Perth,False,19/06/2019,08:45,2019-01-18,18:47:26.084354
4,West Perth,False,19/06/2019,13:50,2019-01-18,18:47:26.084354
5,West Perth,False,19/06/2019,14:50,2019-01-18,18:47:26.084354
6,West Perth,False,24/06/2019,14:50,2019-01-18,18:47:26.084354
7,West Perth,False,25/06/2019,11:25,2019-01-18,18:47:26.084354
8,West Perth,False,25/06/2019,14:50,2019-01-18,18:47:26.084354
0,West Perth,False,07/06/2019,11:25,2019-01-18,18:52:28.603144
1,West Perth,False,12/06/2019,13:50,2019-01-18,18:52:28.603144
2,West Perth,False,13/06/2019,08:45,2019-01-18,18:52:28.603144
3,West Perth,False,19/06/2019,08:45,2019-01-18,18:52:28.603144
4,West Perth,False,19/06/2019,13:50,2019-01-18,18:52:28.603144
5,West Perth,False,19/06/2019,14:50,2019-01-18,18:52:28.603144
6,West Perth,False,24/06/2019,14:50,2019-01-18,18:52:28.603144
7,West Perth,False,25/06/2019,11:25,2019-01-18,18:52:28.603144
8,West Perth,False,25/06/2019,14:50,2019-01-18,18:52:28.603144
0,West Perth,False,07/06/2019,11:25,2019-01-18,18:57:27.242724
1,West Perth,False,12/06/2019,13:50,2019-01-18,18:57:27.242724
2,West Perth,False,13/06/2019,08:45,2019-01-18,18:57:27.242724
3,West Perth,False,19/06/2019,08:45,2019-01-18,18:57:27.242724
4,West Perth,False,19/06/2019,13:50,2019-01-18,18:57:27.242724
5,West Perth,False,19/06/2019,14:50,2019-01-18,18:57:27.242724
6,West Perth,False,24/06/2019,14:50,2019-01-18,18:57:27.242724
7,West Perth,False,25/06/2019,11:25,2019-01-18,18:57:27.242724
8,West Perth,False,25/06/2019,14:50,2019-01-18,18:57:27.242724
0,West Perth,False,07/06/2019,11:25,2019-01-18,20:32:29.799558
1,West Perth,False,12/06/2019,13:50,2019-01-18,20:32:29.799558
2,West Perth,False,13/06/2019,08:45,2019-01-18,20:32:29.799558
3,West Perth,False,19/06/2019,08:45,2019-01-18,20:32:29.799558
4,West Perth,False,19/06/2019,13:50,2019-01-18,20:32:29.799558
5,West Perth,False,19/06/2019,14:50,2019-01-18,20:32:29.799558
6,West Perth,False,24/06/2019,14:50,2019-01-18,20:32:29.799558
7,West Perth,False,25/06/2019,11:25,2019-01-18,20:32:29.799558
8,West Perth,False,25/06/2019,14:50,2019-01-18,20:32:29.799558
0,West Perth,False,07/06/2019,11:25,2019-01-18,20:37:23.768469
1,West Perth,False,12/06/2019,13:50,2019-01-18,20:37:23.768469
2,West Perth,False,13/06/2019,08:45,2019-01-18,20:37:23.768469
3,West Perth,False,19/06/2019,08:45,2019-01-18,20:37:23.768469
4,West Perth,False,19/06/2019,13:50,2019-01-18,20:37:23.768469
5,West Perth,False,19/06/2019,14:50,2019-01-18,20:37:23.768469
6,West Perth,False,24/06/2019,14:50,2019-01-18,20:37:23.768469
7,West Perth,False,25/06/2019,11:25,2019-01-18,20:37:23.768469
8,West Perth,False,25/06/2019,14:50,2019-01-18,20:37:23.768469
0,West Perth,False,02/04/2019,07:55,2019-01-18,20:42:24.342809
1,West Perth,False,07/06/2019,11:25,2019-01-18,20:42:24.342809
2,West Perth,False,12/06/2019,13:50,2019-01-18,20:42:24.342809
3,West Perth,False,13/06/2019,08:45,2019-01-18,20:42:24.342809
4,West Perth,False,19/06/2019,08:45,2019-01-18,20:42:24.342809
5,West Perth,False,19/06/2019,13:50,2019-01-18,20:42:24.342809
6,West Perth,False,19/06/2019,14:50,2019-01-18,20:42:24.342809
7,West Perth,False,24/06/2019,14:50,2019-01-18,20:42:24.342809
8,West Perth,False,25/06/2019,11:25,2019-01-18,20:42:24.342809
0,West Perth,False,02/04/2019,07:55,2019-01-18,20:47:24.647623
1,West Perth,False,07/06/2019,11:25,2019-01-18,20:47:24.647623
2,West Perth,False,12/06/2019,13:50,2019-01-18,20:47:24.647623
3,West Perth,False,13/06/2019,08:45,2019-01-18,20:47:24.647623
4,West Perth,False,19/06/2019,08:45,2019-01-18,20:47:24.647623
5,West Perth,False,19/06/2019,13:50,2019-01-18,20:47:24.647623
6,West Perth,False,19/06/2019,14:50,2019-01-18,20:47:24.647623
7,West Perth,False,24/06/2019,14:50,2019-01-18,20:47:24.647623
8,West Perth,False,25/06/2019,11:25,2019-01-18,20:47:24.647623
0,West Perth,False,07/06/2019,11:25,2019-01-18,20:52:23.877946
1,West Perth,False,12/06/2019,13:50,2019-01-18,20:52:23.877946
2,West Perth,False,13/06/2019,08:45,2019-01-18,20:52:23.877946
3,West Perth,False,19/06/2019,08:45,2019-01-18,20:52:23.877946
4,West Perth,False,19/06/2019,13:50,2019-01-18,20:52:23.877946
5,West Perth,False,19/06/2019,14:50,2019-01-18,20:52:23.877946
6,West Perth,False,24/06/2019,14:50,2019-01-18,20:52:23.877946
7,West Perth,False,25/06/2019,11:25,2019-01-18,20:52:23.877946
8,West Perth,False,25/06/2019,14:50,2019-01-18,20:52:23.877946
